"* Select shipping method",* Selectare metodă expediere
"Total Chargeback: %s","Total Chargeback: %s"
"Total Charged: %s",Total Plătit: %s
"Total Refunded: %s",Total Rambursat: %s
"Transparent","Transparent"
"UPS","UPS"
"USPS","USPS"
"United Kingdom",Regatul Unit
"United States",Statele Unite
"Unknown Reason",Motiv Necunoscut
"White Background",Fundal Alb
"Yes","Yes"
"You will be redirected to GoogleCheckout in a few seconds.",Veți fi redirecționat la GoogleCheckout în câteva secunde.
